,date,TICKER,variance,sample-size
283,2022-01-27 20:00:00,AAL,1.08227359033022e-05,12
284,2022-01-27 21:00:00,AAL,1.1786791775493381e-06,12
285,2022-01-27 22:00:00,AAL,3.42254850765597e-06,12
286,2022-01-27 23:00:00,AAL,1.0552816421689896e-06,12
287,2022-01-28 00:00:00,AAL,6.8835019396338455e-06,12
288,2022-01-28 09:00:00,AAL,5.257143923307329e-06,11
289,2022-01-28 10:00:00,AAL,9.669344604501388e-06,8
290,2022-01-28 11:00:00,AAL,2.6951658712036007e-05,6
291,2022-01-28 12:00:00,AAL,4.032932896438522e-06,12
292,2022-01-28 13:00:00,AAL,6.459025484097141e-06,12
293,2022-01-28 14:00:00,AAL,1.3307526023602185e-05,12
294,2022-01-28 15:00:00,AAL,3.5772141977265504e-05,12
295,2022-01-28 16:00:00,AAL,2.057066772448932e-05,12
296,2022-01-28 17:00:00,AAL,1.1891444618496709e-05,12
297,2022-01-28 18:00:00,AAL,3.634085835677037e-06,12
298,2022-01-28 19:00:00,AAL,1.2902705864800215e-05,12
299,2022-01-28 20:00:00,AAL,3.4252012134181834e-06,12
300,2022-01-28 21:00:00,AAL,7.242750535111183e-07,12
301,2022-01-28 22:00:00,AAL,6.715435576141594e-08,12
302,2022-01-28 23:00:00,AAL,1.6298466968569254e-07,11
303,2022-01-29 00:00:00,AAL,6.107427593349991e-07,12
304,2022-01-31 09:00:00,AAL,8.117973134920172e-06,8
305,2022-01-31 10:00:00,AAL,2.2350212058672156e-06,8
306,2022-01-31 11:00:00,AAL,5.922609280349006e-06,10
307,2022-01-31 12:00:00,AAL,4.840872700364513e-06,12
308,2022-01-31 13:00:00,AAL,5.472841836786607e-06,12
309,2022-01-31 14:00:00,AAL,1.4307500335481556e-05,12
310,2022-01-31 15:00:00,AAL,1.0388573042287822e-05,12
311,2022-01-31 16:00:00,AAL,7.9886644519339e-06,12
312,2022-01-31 17:00:00,AAL,1.0337087573306052e-05,12
313,2022-01-31 18:00:00,AAL,5.949824154154052e-06,12
314,2022-01-31 19:00:00,AAL,3.990538539329343e-06,12
315,2022-01-31 20:00:00,AAL,9.221740654993244e-06,12
316,2022-01-31 21:00:00,AAL,1.5586310606909822e-06,12
317,2022-01-31 22:00:00,AAL,3.8969423805045215e-07,12
318,2022-01-31 23:00:00,AAL,1.4800563573218164e-07,12
319,2022-02-01 00:00:00,AAL,2.2985984633787135e-07,11
320,2022-02-01 09:00:00,AAL,6.90285380079447e-06,16
321,2022-02-01 10:00:00,AAL,0.0,4
322,2022-02-01 11:00:00,AAL,3.0589491320899155e-06,10
323,2022-02-01 12:00:00,AAL,6.822666899903377e-07,22
324,2022-02-01 13:00:00,AAL,1.2801511188650186e-06,24
325,2022-02-01 14:00:00,AAL,1.4488486207436157e-05,24
326,2022-02-01 15:00:00,AAL,7.960328393966127e-06,24
327,2022-02-01 16:00:00,AAL,2.9337366263779906e-06,24
328,2022-02-01 17:00:00,AAL,4.1287921017001865e-06,24
329,2022-02-01 18:00:00,AAL,1.6056818378198375e-06,24
330,2022-02-01 19:00:00,AAL,3.3441909189198444e-07,24
331,2022-02-01 20:00:00,AAL,1.9452080224590145e-06,24
332,2022-02-01 21:00:00,AAL,5.593381892462104e-07,24
333,2022-02-01 22:00:00,AAL,2.8853924655724517e-07,24
334,2022-02-01 23:00:00,AAL,4.095202112017696e-07,20
335,2022-02-02 00:00:00,AAL,7.450800912528701e-07,20
336,2022-02-02 09:00:00,AAL,1.044252932511078e-05,5
337,2022-02-02 10:00:00,AAL,1.4138382120543726e-05,3
338,2022-02-02 11:00:00,AAL,3.246337844735367e-06,6
339,2022-02-02 12:00:00,AAL,1.5388838173509211e-06,12
340,2022-02-02 13:00:00,AAL,1.8960425499363234e-06,12
